from,to,weight
S3,S24,0
S3,S25,0.25
S3,S26,0
S3,S27,0
S3,S28,0
S3,S29,0
S3,S30,0
S3,S31,0
S3,S32,0
S3,S33,0
S3,S34,0
S3,S37,0
S3,S42,0
S3,S45,0
S3,S46,0
S3,S47,0
S3,S49,0
S3,S50,0.16666667
S3,S51,0
S3,S53,0
S3,S54,0
S3,S55,0
S3,S56,0
S3,S57,0
S3,S59,0.07692308
S3,S60,0.25
S3,S62,0
S3,S63,0
S3,S65,0
S3,S66,0
S3,S67,0
S3,S68,0
S3,S69,0.125
S3,S70,0
S3,S71,0
S3,S73,0
S3,S77,0
S3,S79,0
S3,S80,0
S3,S81,0
S3,S82,0
S3,S83,0
S3,S84,0
S3,S86,0
S3,S87,0
S3,S88,0
S3,S91,0
S3,S94,0.22222222
S3,S95,0
S3,S97,0.16666667
S3,S98,0.2
S3,S100,0.25
S3,S103,0.25
S3,S106,0
S3,S107,0
S3,S108,0
S3,S110,0
S3,S111,0
S3,S114,0.25
S3,S117,0
S3,S118,0
S3,S119,0
S3,S121,0.125
S3,S122,0.2
S3,S123,0.25
S3,S126,0
S3,S129,0
S3,S130,0
S3,S131,0
S3,S132,0
S3,S133,0
S3,S134,0
S3,S135,0
S3,S136,0
S3,S137,0
S3,S138,0
S3,S139,0
S3,S140,0.125
S3,S141,0
S3,S142,0
S3,S143,0
S3,S145,0.25
S3,S146,0
S3,S147,0.14285714
S3,S148,0
S3,S149,0
S3,S151,0
S3,S152,0
S3,S153,0
S3,S154,0
S3,S155,0
S3,S156,0
S3,S158,0
S3,S160,0
S3,S163,0
S3,S165,0
S3,S166,0
S3,S167,0
S3,S169,0
S3,S170,0
S3,S172,0
S3,S174,0
S3,S178,0
S3,S180,0
S3,S181,0
S3,S182,0
S3,S183,0
S3,S184,0.0625
S3,S186,0
S3,S187,0
S3,S188,0
S3,S189,0
S3,S190,0
S3,S193,0
S3,S194,0.14285714
S3,S195,0
S3,S197,0
S3,S198,0
S3,S201,0
S3,S202,0
S3,S203,0
S3,S204,0
S3,S206,0
S3,S208,0
S3,S209,0
S3,S210,0.16666667
S3,S212,0
S3,S214,0
S3,S216,0
S3,S218,0
S3,S220,0
S3,S221,0
S3,S222,0
S3,S223,0
S3,S224,0
S3,S225,0
S3,S227,0
S3,S229,0
S3,S230,0
S3,S231,0
S3,S232,0
S3,S234,0
S3,S235,0.1
S3,S239,0
S3,S242,0
S3,S243,0
S3,S244,0
S3,S245,0
S3,S246,0
S3,S247,0
S3,S253,0
S3,S254,0
S3,S255,0
S3,S256,0
S3,S257,0
S3,S261,0.14285714
S3,S262,0
S3,S264,0
S3,S265,0.07142857
S3,S266,0
S3,S267,0.2
S3,S268,0
S3,S269,0.09090909
S3,S270,0
S3,S271,0
S3,S274,0
S3,S275,0
S3,S276,0.2
S3,S277,0.14285714
S3,S278,0
S3,S280,0
S3,S281,0
S3,S282,0
S3,S284,0
S3,S285,0
S3,S286,0
S3,S287,0.25
S3,S288,0.25
S3,S293,0
S3,S294,0
S3,S295,0
S3,S297,0
S3,S298,0.25
S3,S299,0.2
S3,S300,0
S3,S302,0
S3,S303,0
S3,S304,0
S3,S305,0.25
S3,S306,0
S3,S308,0
S3,S310,0
S3,S311,0
S3,S313,0
S3,S316,0
S3,S317,0.11111111
S3,S318,0
S3,S319,0
S3,S320,0
S3,S321,0
S3,S324,0
S3,S325,0
S3,S326,0
S3,S327,0
S3,S329,0.16666667
S3,S331,0
S3,S332,0
S3,S333,0
S3,S334,0
S3,S335,0.2
S3,S336,0
S3,S337,0
S3,S338,0
S3,S339,0
S3,S340,0
S3,S342,0
S3,S344,0.25
S3,S345,0.2
S3,S346,0
S3,S348,0.11111111
S3,S349,0
S3,S352,0
S3,S354,0
S3,S357,0
S3,S358,0
S3,S359,0
S3,S360,0
S3,S361,0
S3,S362,0.25
S3,S363,0.25
S3,S365,0
S3,S366,0
S3,S367,0
S3,S368,0
S3,S370,0
S3,S371,0
S3,S373,0
S3,S374,0
S3,S375,0
S3,S376,0
S3,S377,0
S3,S378,0
S3,S381,0
S3,S384,0
S3,S386,0
S3,S387,0
S3,S388,0.14285714
S3,S389,0
S3,S390,0
S3,S391,0
S3,S392,0
S3,S393,0
S3,S394,0.25
S3,S395,0
S3,S397,0
S3,S399,0
S3,S400,0
S3,S401,0
S3,S402,0
S3,S404,0
S3,S405,0
S3,S406,0
S3,S407,0
S3,S411,0
S3,S412,0
S3,S413,0
S3,S414,0
S3,S415,0
S3,S416,0
S3,S417,0
S3,S418,0
S3,S419,0.25
S3,S421,0
S3,S422,0
S3,S423,0
S3,S424,0
S3,S425,0
S3,S426,0
S3,S427,0
S3,S428,0.22222222
S3,S429,0
S3,S431,0
S3,S432,0
S3,S433,0
S3,S434,0
S3,S435,0.125
S3,S436,0
S3,S437,0
S3,S439,0
S3,S440,0
S3,S442,0
S3,S444,0
S3,S445,0
S3,S446,0
S3,S447,0.25
S3,S448,0.25
S3,S449,0
S3,S450,0
S3,S453,0
S3,S456,0
S3,S459,0
S3,S461,0
S3,S462,0
S3,S466,0
S3,S467,0
S3,S468,0
S3,S469,0
S3,S470,0.25
S3,S471,0.16666667
S3,S472,0
S3,S473,0
S3,S474,0
S3,S475,0
S3,S478,0
S3,S479,0
S3,S480,0
S3,S481,0
S3,S482,0
S3,S483,0
S3,S484,0.2
S3,S486,0
S3,S487,0
S3,S488,0
S3,S489,0
S3,S490,0
S3,S495,0
S3,S496,0
S3,S499,0.14285714
S3,S500,0
S3,S502,0
S3,S505,0.09090909
S3,S506,0
S3,S507,0
S3,S508,0
S3,S510,0
S3,S511,0
S4,S5,0
S4,S6,0
S4,S7,0
S4,S8,0
S4,S10,0
S4,S12,0
S4,S13,0
S4,S15,0
S4,S16,0
S4,S17,0
S4,S18,0
S4,S20,0
S4,S21,0
S4,S22,0
S4,S23,0
S4,S24,0
S4,S25,0
S4,S26,0
S4,S27,0
S4,S28,0
S4,S29,0
S4,S30,0
S4,S31,0
S4,S32,0
S4,S33,0
S4,S34,0
S4,S37,0
S4,S42,0
S4,S45,0
S4,S46,0
S4,S47,0
S4,S49,0
S4,S50,0
S4,S51,0
S4,S53,0
S4,S54,0
S4,S55,0
S4,S56,0
S4,S57,0
S4,S59,0.1
S4,S60,0
S4,S62,0
S4,S63,0
S4,S65,0
S4,S66,0
S4,S67,0
S4,S68,0
S4,S69,0.2
S4,S70,0
S4,S71,0
S4,S73,0
S4,S77,0
S4,S79,0
S4,S80,0
S4,S81,0
S4,S82,0
S4,S83,0
S4,S84,0
S4,S86,0
S4,S87,0
S4,S88,0
S4,S91,0
S4,S94,0
S4,S95,0
S4,S97,0
S4,S98,0
S4,S100,0
S4,S103,0
S4,S106,0
S4,S107,0
S4,S108,0
S4,S110,0
S4,S111,0
S4,S114,0
S4,S117,0
S4,S118,0
S4,S119,0
S4,S121,0
S4,S122,0
S4,S123,0
