,reads.in,reads.out
S144_AMA_1.fastq.gz,7,3
S145_AMA_1.fastq.gz,19671,16449
S146_AMA_1.fastq.gz,31686,24080
S147_AMA_1.fastq.gz,16778,13517
S148_AMA_1.fastq.gz,21267,15620
S149_AMA_1.fastq.gz,29070,21597
S15_AMA_1.fastq.gz,4212,3488
S150_AMA_1.fastq.gz,7,3
S151_AMA_1.fastq.gz,12973,10710
S152_AMA_1.fastq.gz,20592,16992
S153_AMA_1.fastq.gz,10920,9197
S154_AMA_1.fastq.gz,21168,17144
S155_AMA_1.fastq.gz,14328,11924
S156_AMA_1.fastq.gz,7485,6099
S157_AMA_1.fastq.gz,9,2
S158_AMA_1.fastq.gz,20525,17464
S159_AMA_1.fastq.gz,19,7
S16_AMA_1.fastq.gz,33126,25728
S160_AMA_1.fastq.gz,16026,12402
S161_AMA_1.fastq.gz,26,17
S162_AMA_1.fastq.gz,1,0
S163_AMA_1.fastq.gz,12013,9494
S164_AMA_1.fastq.gz,19,2
S165_AMA_1.fastq.gz,19767,16542
S166_AMA_1.fastq.gz,8279,6811
S167_AMA_1.fastq.gz,19304,16222
S168_AMA_1.fastq.gz,11,6
S169_AMA_1.fastq.gz,14933,12432
S17_AMA_1.fastq.gz,24817,12155
S170_AMA_1.fastq.gz,22076,18564
S171_AMA_1.fastq.gz,41,32
S172_AMA_1.fastq.gz,45057,35643
S173_AMA_1.fastq.gz,15,11
S174_AMA_1.fastq.gz,10289,7297
S175_AMA_1.fastq.gz,4,2
S176_AMA_1.fastq.gz,0,0
S177_AMA_1.fastq.gz,3,2
S178_AMA_1.fastq.gz,31170,24433
S179_AMA_1.fastq.gz,4,0
S18_AMA_1.fastq.gz,41967,32954
S180_AMA_1.fastq.gz,13235,10489
S181_AMA_1.fastq.gz,14618,11925
S182_AMA_1.fastq.gz,10156,8455
S183_AMA_1.fastq.gz,5154,3826
S184_AMA_1.fastq.gz,16526,13310
S185_AMA_1.fastq.gz,3,3
S186_AMA_1.fastq.gz,13642,11296
S187_AMA_1.fastq.gz,16727,11458
S188_AMA_1.fastq.gz,15527,12591
S189_AMA_1.fastq.gz,8504,6088
S19_AMA_1.fastq.gz,9,8
S190_AMA_1.fastq.gz,16080,12401
S191_AMA_1.fastq.gz,9,0
S192_AMA_1.fastq.gz,10,2
S193_AMA_1.fastq.gz,232,196
S194_AMA_1.fastq.gz,13837,11493
S195_AMA_1.fastq.gz,5614,4072
S196_AMA_1.fastq.gz,7,3
S197_AMA_1.fastq.gz,3303,2545
S198_AMA_1.fastq.gz,23007,18921
S199_AMA_1.fastq.gz,4,3
S2_AMA_1.fastq.gz,3505,2929
S20_AMA_1.fastq.gz,34416,29026
S200_AMA_1.fastq.gz,2,2
S201_AMA_1.fastq.gz,13056,7476
S202_AMA_1.fastq.gz,13789,9772
S203_AMA_1.fastq.gz,4320,3695
S204_AMA_1.fastq.gz,29784,24506
S205_AMA_1.fastq.gz,8,4
S206_AMA_1.fastq.gz,20542,16896
S207_AMA_1.fastq.gz,19,10
S208_AMA_1.fastq.gz,17257,12835
S209_AMA_1.fastq.gz,6092,4929
S21_AMA_1.fastq.gz,32477,26557
S210_AMA_1.fastq.gz,9900,8262
S211_AMA_1.fastq.gz,24,7
S212_AMA_1.fastq.gz,16134,13579
S213_AMA_1.fastq.gz,8,5
S214_AMA_1.fastq.gz,10157,7913
S215_AMA_1.fastq.gz,22,5
S216_AMA_1.fastq.gz,13664,9628
S217_AMA_1.fastq.gz,30,3
S218_AMA_1.fastq.gz,38520,31740
S219_AMA_1.fastq.gz,26,15
S22_AMA_1.fastq.gz,6585,5065
S220_AMA_1.fastq.gz,13614,11005
S221_AMA_1.fastq.gz,31742,23573
S222_AMA_1.fastq.gz,14263,11670
S223_AMA_1.fastq.gz,31132,25704
S224_AMA_1.fastq.gz,4201,3351
S225_AMA_1.fastq.gz,16086,11891
S226_AMA_1.fastq.gz,26874,20083
S227_AMA_1.fastq.gz,25902,21024
S228_AMA_1.fastq.gz,18,7
S229_AMA_1.fastq.gz,9969,8335
S23_AMA_1.fastq.gz,22189,15739
S230_AMA_1.fastq.gz,17469,14940
S231_AMA_1.fastq.gz,27916,23492
S232_AMA_1.fastq.gz,33578,28354
S233_AMA_1.fastq.gz,12,6
S234_AMA_1.fastq.gz,18665,15490
S235_AMA_1.fastq.gz,29788,24940
S236_AMA_1.fastq.gz,24,4
S237_AMA_1.fastq.gz,11,9
S238_AMA_1.fastq.gz,25,6
S239_AMA_1.fastq.gz,10662,8769
S24_AMA_1.fastq.gz,23874,16616
