Sample,reads.in,reads.out,merged,tabled,nonchim
S128_AMA_1.fastq.gz,15,13,Removed,Removed,Removed
S129_AMA_1.fastq.gz,34082,28454,27833,27833,27833
S13_AMA_1.fastq.gz,35024,29211,28530,28530,28530
S130_AMA_1.fastq.gz,6882,4768,4637,4637,4637
S131_AMA_1.fastq.gz,22924,18335,17654,17654,12437
S132_AMA_1.fastq.gz,4268,3411,3356,3356,3356
S133_AMA_1.fastq.gz,17131,14131,13375,13375,9850
S134_AMA_1.fastq.gz,33069,27975,26462,26462,20132
S135_AMA_1.fastq.gz,25408,21214,20176,20176,14959
S136_AMA_1.fastq.gz,30079,24758,23488,23488,15062
S137_AMA_1.fastq.gz,6302,4874,4745,4745,4612
S138_AMA_1.fastq.gz,20497,16550,15813,15813,9827
S139_AMA_1.fastq.gz,35398,28853,27600,27600,23209
S14_AMA_1.fastq.gz,18,12,Removed,Removed,Removed
S140_AMA_1.fastq.gz,18564,15284,14869,14869,13875
S141_AMA_1.fastq.gz,17901,13741,13368,13368,11995
S142_AMA_1.fastq.gz,17928,5349,4878,4878,4718
S143_AMA_1.fastq.gz,27600,7302,7060,7060,7060
S144_AMA_1.fastq.gz,7,3,Removed,Removed,Removed
S145_AMA_1.fastq.gz,19671,16449,16077,16077,16077
S146_AMA_1.fastq.gz,31686,24080,23214,23214,19363
S147_AMA_1.fastq.gz,16778,13517,13127,13127,12535
S148_AMA_1.fastq.gz,21267,15620,14992,14992,13602
S149_AMA_1.fastq.gz,29070,21597,21097,21097,21097
S15_AMA_1.fastq.gz,4212,3488,3394,3394,3363
S150_AMA_1.fastq.gz,7,3,Removed,Removed,Removed
S151_AMA_1.fastq.gz,12973,10710,10462,10462,10164
S152_AMA_1.fastq.gz,20592,16992,16442,16442,14502
S153_AMA_1.fastq.gz,10920,9197,9004,9004,9004
S154_AMA_1.fastq.gz,21168,17144,16722,16722,16722
S155_AMA_1.fastq.gz,14328,11924,11534,11534,10825
S156_AMA_1.fastq.gz,7485,6099,5953,5953,5953
S157_AMA_1.fastq.gz,9,2,Removed,Removed,Removed
S158_AMA_1.fastq.gz,20525,17464,17042,17042,17042
S159_AMA_1.fastq.gz,19,7,Removed,Removed,Removed
S16_AMA_1.fastq.gz,33126,25728,25059,25059,25059
S160_AMA_1.fastq.gz,16026,12402,11927,11927,6548
S161_AMA_1.fastq.gz,26,17,Removed,Removed,Removed
S162_AMA_1.fastq.gz,1,0,Removed,Removed,Removed
S163_AMA_1.fastq.gz,12013,9494,9257,9257,9257
S164_AMA_1.fastq.gz,19,2,Removed,Removed,Removed
S165_AMA_1.fastq.gz,19767,16542,16111,16111,16111
S166_AMA_1.fastq.gz,8279,6811,6590,6590,6168
S167_AMA_1.fastq.gz,19304,16222,15871,15871,15871
S168_AMA_1.fastq.gz,11,6,Removed,Removed,Removed
S169_AMA_1.fastq.gz,14933,12432,12041,12041,11629
S17_AMA_1.fastq.gz,24817,12155,11491,11491,10508
S170_AMA_1.fastq.gz,22076,18564,17874,17874,17517
S171_AMA_1.fastq.gz,41,32,Removed,Removed,Removed
S172_AMA_1.fastq.gz,45057,35643,34871,34871,34871
S173_AMA_1.fastq.gz,15,11,Removed,Removed,Removed
S174_AMA_1.fastq.gz,10289,7297,7090,7090,7090
S175_AMA_1.fastq.gz,4,2,Removed,Removed,Removed
S176_AMA_1.fastq.gz,0,0,Removed,Removed,Removed
S177_AMA_1.fastq.gz,3,2,Removed,Removed,Removed
S178_AMA_1.fastq.gz,31170,24433,23672,23672,23242
S179_AMA_1.fastq.gz,4,0,Removed,Removed,Removed
S18_AMA_1.fastq.gz,41967,32954,31871,31871,30831
S180_AMA_1.fastq.gz,13235,10489,10198,10198,9988
S181_AMA_1.fastq.gz,14618,11925,11648,11648,11648
S182_AMA_1.fastq.gz,10156,8455,8258,8258,8258
S183_AMA_1.fastq.gz,5154,3826,3734,3734,3734
S184_AMA_1.fastq.gz,16526,13310,12362,12362,9423
S185_AMA_1.fastq.gz,3,3,Removed,Removed,Removed
S186_AMA_1.fastq.gz,13642,11296,10936,10936,10936
S187_AMA_1.fastq.gz,16727,11458,10231,10231,6846
S188_AMA_1.fastq.gz,15527,12591,11759,11759,8804
S189_AMA_1.fastq.gz,8504,6088,5873,5873,5368
S19_AMA_1.fastq.gz,9,8,Removed,Removed,Removed
S190_AMA_1.fastq.gz,16080,12401,11387,11387,7250
S191_AMA_1.fastq.gz,9,0,Removed,Removed,Removed
S192_AMA_1.fastq.gz,10,2,Removed,Removed,Removed
S193_AMA_1.fastq.gz,232,196,196,196,196
