Sample,reads.in,reads.out,merged,tabled,nonchim
S500_AMA_1.fastq.gz,2854,2448,2366,2366,2366
S501_AMA_1.fastq.gz,4,4,Removed,Removed,Removed
S502_AMA_1.fastq.gz,10063,8300,7997,7997,7164
S503_AMA_1.fastq.gz,4,3,Removed,Removed,Removed
S504_AMA_1.fastq.gz,5,1,Removed,Removed,Removed
S505_AMA_1.fastq.gz,10710,9119,8503,8503,6585
S506_AMA_1.fastq.gz,9659,8081,7858,7858,7858
S507_AMA_1.fastq.gz,24689,20716,20045,20045,19357
S508_AMA_1.fastq.gz,27343,22707,22134,22134,21724
S509_AMA_1.fastq.gz,31,22,Removed,Removed,Removed
S51_AMA_1.fastq.gz,17108,14238,13912,13912,13912
S510_AMA_1.fastq.gz,21637,17052,16641,16641,16641
S511_AMA_1.fastq.gz,8181,6692,6530,6530,6530
S512_AMA_1.fastq.gz,21595,18344,17890,17890,17890
S513_AMA_1.fastq.gz,21485,17786,17393,17393,17393
S514_AMA_1.fastq.gz,52975,44074,42922,42922,42571
S52_AMA_1.fastq.gz,17,9,Removed,Removed,Removed
S53_AMA_1.fastq.gz,15973,12895,12579,12579,12579
S54_AMA_1.fastq.gz,32248,22633,21700,21700,19756
S55_AMA_1.fastq.gz,24974,20584,19868,19868,16736
S56_AMA_1.fastq.gz,48685,40772,38319,38319,19246
S57_AMA_1.fastq.gz,45277,38517,37455,37455,36098
S58_AMA_1.fastq.gz,8930,7535,7353,7353,0
S59_AMA_1.fastq.gz,33026,27394,26195,26195,22049
S6_AMA_1.fastq.gz,25557,21155,20280,20280,17513
S60_AMA_1.fastq.gz,32376,26301,25713,25713,25713
S61_AMA_1.fastq.gz,10,5,Removed,Removed,Removed
S62_AMA_1.fastq.gz,55329,45448,43747,43747,41671
S63_AMA_1.fastq.gz,35311,30032,29346,29346,29346
S64_AMA_1.fastq.gz,20,14,Removed,Removed,Removed
S65_AMA_1.fastq.gz,23328,18997,18510,18510,17949
S66_AMA_1.fastq.gz,55374,46364,45242,45242,44933
S67_AMA_1.fastq.gz,17066,13766,13419,13419,12424
S68_AMA_1.fastq.gz,34567,28665,27759,27759,25056
S69_AMA_1.fastq.gz,45985,38234,36431,36431,27197
S7_AMA_1.fastq.gz,9093,7295,7087,7087,6614
S70_AMA_1.fastq.gz,51142,42575,41495,41495,40676
S71_AMA_1.fastq.gz,56806,46749,45665,45665,45665
S72_AMA_1.fastq.gz,28,20,Removed,Removed,Removed
S73_AMA_1.fastq.gz,41026,31888,31145,31145,31145
S74_AMA_1.fastq.gz,17,7,Removed,Removed,Removed
S75_AMA_1.fastq.gz,11,5,Removed,Removed,Removed
S76_AMA_1.fastq.gz,19,11,Removed,Removed,Removed
S77_AMA_1.fastq.gz,37573,30692,29008,29008,15120
S78_AMA_1.fastq.gz,16,8,Removed,Removed,Removed
S79_AMA_1.fastq.gz,14672,11918,11640,11640,11640
S8_AMA_1.fastq.gz,17387,14323,13974,13974,13974
S80_AMA_1.fastq.gz,14988,12446,12134,12134,12134
S81_AMA_1.fastq.gz,49346,41815,40623,40623,38528
S82_AMA_1.fastq.gz,36120,29584,28587,28587,22354
S83_AMA_1.fastq.gz,32818,26540,25974,25974,25974
S84_AMA_1.fastq.gz,11602,9653,9403,9403,9403
S85_AMA_1.fastq.gz,4,1,Removed,Removed,Removed
S86_AMA_1.fastq.gz,47211,38573,37655,37655,37638
S87_AMA_1.fastq.gz,47005,39378,38280,38280,36810
S88_AMA_1.fastq.gz,49456,40027,39106,39106,39106
S89_AMA_1.fastq.gz,4,3,Removed,Removed,Removed
S9_AMA_1.fastq.gz,23,11,Removed,Removed,Removed
S90_AMA_1.fastq.gz,8,2,Removed,Removed,Removed
S91_AMA_1.fastq.gz,25649,20160,19703,19703,19703
S92_AMA_1.fastq.gz,10,6,Removed,Removed,Removed
S93_AMA_1.fastq.gz,4,2,Removed,Removed,Removed
S94_AMA_1.fastq.gz,17119,13260,Removed,Removed,Removed
S95_AMA_1.fastq.gz,15606,12512,12505,12505,11849
S96_AMA_1.fastq.gz,2,2,12250,12250,12250
S97_AMA_1.fastq.gz,8532,6818,6628,6628,6239
S98_AMA_1.fastq.gz,1471,1071,1066,1066,1066
S99_AMA_1.fastq.gz,4,2,Removed,Removed,Removed
