Sample,reads.in,reads.out,merged,tabled,nonchim
S145_CSP_1.fastq.gz,15478,11042,11040,11040,11040
S146_CSP_1.fastq.gz,31778,20959,20942,20942,20942
S147_CSP_1.fastq.gz,16171,11712,11528,11528,10663
S148_CSP_1.fastq.gz,17170,11418,11370,11370,11020
S149_CSP_1.fastq.gz,25319,17169,17169,17169,17169
S15_CSP_1.fastq.gz,9560,7095,7095,7095,7095
S150_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S151_CSP_1.fastq.gz,8625,6342,6339,6339,6339
S152_CSP_1.fastq.gz,17187,12659,12640,12640,12267
S153_CSP_1.fastq.gz,13886,10644,10643,10643,10643
S154_CSP_1.fastq.gz,10909,7690,7636,7636,7272
S155_CSP_1.fastq.gz,6929,4901,4901,4901,4901
S156_CSP_1.fastq.gz,6670,4573,4573,4573,4573
S157_CSP_1.fastq.gz,9,4,Removed,Removed,Removed
S158_CSP_1.fastq.gz,21147,15978,15978,15978,15978
S159_CSP_1.fastq.gz,9,8,Removed,Removed,Removed
S16_CSP_1.fastq.gz,18948,13477,13477,13477,13477
S160_CSP_1.fastq.gz,17773,12551,12474,12474,11673
S161_CSP_1.fastq.gz,10,2,Removed,Removed,Removed
S162_CSP_1.fastq.gz,1,0,Removed,Removed,Removed
S163_CSP_1.fastq.gz,18,8,Removed,Removed,Removed
S164_CSP_1.fastq.gz,4,2,Removed,Removed,Removed
S165_CSP_1.fastq.gz,13518,10374,10372,10372,10372
S166_CSP_1.fastq.gz,13773,9930,9731,9731,8408
S167_CSP_1.fastq.gz,19343,13986,13986,13986,13986
S168_CSP_1.fastq.gz,6,2,Removed,Removed,Removed
S169_CSP_1.fastq.gz,8077,5591,5591,5591,5591
S17_CSP_1.fastq.gz,13489,5945,5893,5893,5711
S170_CSP_1.fastq.gz,45670,35059,35015,35015,33785
S171_CSP_1.fastq.gz,4844,3686,3686,3686,3686
S172_CSP_1.fastq.gz,23778,17139,17139,17139,17139
S173_CSP_1.fastq.gz,15,7,Removed,Removed,Removed
S174_CSP_1.fastq.gz,7628,4737,4737,4737,4737
S175_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S176_CSP_1.fastq.gz,0,0,Removed,Removed,Removed
S177_CSP_1.fastq.gz,3,3,Removed,Removed,Removed
S178_CSP_1.fastq.gz,10894,7579,7385,7385,6730
S179_CSP_1.fastq.gz,0,0,Removed,Removed,Removed
S18_CSP_1.fastq.gz,20810,14248,14151,14151,13599
S180_CSP_1.fastq.gz,2,0,Removed,Removed,Removed
S181_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S182_CSP_1.fastq.gz,3,2,Removed,Removed,Removed
S183_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S184_CSP_1.fastq.gz,10605,7464,7280,7280,6670
S185_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S186_CSP_1.fastq.gz,9360,6569,6528,6528,6528
S187_CSP_1.fastq.gz,21020,13125,12795,12795,10274
S188_CSP_1.fastq.gz,14500,10374,10095,10095,8219
S189_CSP_1.fastq.gz,5841,3774,3774,3774,3774
S19_CSP_1.fastq.gz,3228,2285,2284,2284,2284
S190_CSP_1.fastq.gz,13716,9190,8919,8919,6102
S191_CSP_1.fastq.gz,2,0,Removed,Removed,Removed
S192_CSP_1.fastq.gz,2,1,Removed,Removed,Removed
