,reads.in,reads.out
S20_CSP_1.fastq.gz,19593,13799
S200_CSP_1.fastq.gz,2,0
S201_CSP_1.fastq.gz,10801,5709
S202_CSP_1.fastq.gz,15385,10174
S203_CSP_1.fastq.gz,7565,5573
S204_CSP_1.fastq.gz,24617,18243
S205_CSP_1.fastq.gz,6,3
S206_CSP_1.fastq.gz,17030,12803
S207_CSP_1.fastq.gz,2,0
S208_CSP_1.fastq.gz,13148,8198
S209_CSP_1.fastq.gz,4,2
S21_CSP_1.fastq.gz,15055,10812
S210_CSP_1.fastq.gz,9385,6634
S211_CSP_1.fastq.gz,8,5
S212_CSP_1.fastq.gz,15749,11556
S213_CSP_1.fastq.gz,3,1
S214_CSP_1.fastq.gz,9093,6455
S215_CSP_1.fastq.gz,3,2
S216_CSP_1.fastq.gz,12041,7216
S217_CSP_1.fastq.gz,5,4
S218_CSP_1.fastq.gz,30114,21980
S219_CSP_1.fastq.gz,13,6
S22_CSP_1.fastq.gz,6292,4241
S220_CSP_1.fastq.gz,15577,10405
S221_CSP_1.fastq.gz,27608,18024
S222_CSP_1.fastq.gz,15039,10443
S223_CSP_1.fastq.gz,26716,19571
S224_CSP_1.fastq.gz,9555,6853
S225_CSP_1.fastq.gz,14146,9426
S226_CSP_1.fastq.gz,21638,14600
S227_CSP_1.fastq.gz,28903,20218
S228_CSP_1.fastq.gz,5404,3876
S229_CSP_1.fastq.gz,1,1
S23_CSP_1.fastq.gz,15827,10490
S230_CSP_1.fastq.gz,20477,15286
S231_CSP_1.fastq.gz,25149,18133
S232_CSP_1.fastq.gz,26285,19643
S233_CSP_1.fastq.gz,4558,3155
S234_CSP_1.fastq.gz,13043,9126
S235_CSP_1.fastq.gz,20802,15714
S236_CSP_1.fastq.gz,10,4
S237_CSP_1.fastq.gz,8106,5915
S238_CSP_1.fastq.gz,5944,4317
S239_CSP_1.fastq.gz,11788,8408
S24_CSP_1.fastq.gz,14487,8912
S240_CSP_1.fastq.gz,14,3
S241_CSP_1.fastq.gz,8,4
S242_CSP_1.fastq.gz,12677,9266
S243_CSP_1.fastq.gz,18938,13469
S244_CSP_1.fastq.gz,26707,18971
S245_CSP_1.fastq.gz,12091,8129
S246_CSP_1.fastq.gz,4,1
S247_CSP_1.fastq.gz,12119,8883
S248_CSP_1.fastq.gz,11,7
S249_CSP_1.fastq.gz,4,1
S25_CSP_1.fastq.gz,28087,20525
S250_CSP_1.fastq.gz,28,13
S251_CSP_1.fastq.gz,4,2
S252_CSP_1.fastq.gz,4,1
S253_CSP_1.fastq.gz,0,0
S254_CSP_1.fastq.gz,23040,16789
S255_CSP_1.fastq.gz,13601,9170
S256_CSP_1.fastq.gz,24772,17383
S257_CSP_1.fastq.gz,13442,8931
S258_CSP_1.fastq.gz,8,3
S259_CSP_1.fastq.gz,7,6
S26_CSP_1.fastq.gz,27149,20181
S260_CSP_1.fastq.gz,3,3
S261_CSP_1.fastq.gz,22088,15760
S262_CSP_1.fastq.gz,20234,14173
S263_CSP_1.fastq.gz,4,1
S264_CSP_1.fastq.gz,15251,11330
S265_CSP_1.fastq.gz,21154,15678
S266_CSP_1.fastq.gz,15305,11566
S267_CSP_1.fastq.gz,18744,13346
S268_CSP_1.fastq.gz,1383,948
S269_CSP_1.fastq.gz,12642,8901
S27_CSP_1.fastq.gz,19078,14017
S270_CSP_1.fastq.gz,14518,10383
S271_CSP_1.fastq.gz,16900,11803
S272_CSP_1.fastq.gz,19252,13726
S273_CSP_1.fastq.gz,10,4
S274_CSP_1.fastq.gz,25133,17685
S275_CSP_1.fastq.gz,11390,2563
S276_CSP_1.fastq.gz,10646,7536
S277_CSP_1.fastq.gz,14704,10188
S278_CSP_1.fastq.gz,14774,10768
S279_CSP_1.fastq.gz,5,3
S28_CSP_1.fastq.gz,23100,17419
S280_CSP_1.fastq.gz,21811,11333
S281_CSP_1.fastq.gz,18008,13607
S282_CSP_1.fastq.gz,17154,12512
S283_CSP_1.fastq.gz,5,2
S284_CSP_1.fastq.gz,7228,4442
S285_CSP_1.fastq.gz,14554,10291
S286_CSP_1.fastq.gz,25394,15026
S287_CSP_1.fastq.gz,13,3
S288_CSP_1.fastq.gz,3,1
S289_CSP_1.fastq.gz,24,13
S29_CSP_1.fastq.gz,15,7
S290_CSP_1.fastq.gz,6,2
S291_CSP_1.fastq.gz,9,9
S292_CSP_1.fastq.gz,15,7
S293_CSP_1.fastq.gz,5,2
S294_CSP_1.fastq.gz,12879,9415
S295_CSP_1.fastq.gz,16071,12245
S296_CSP_1.fastq.gz,11,6
S297_CSP_1.fastq.gz,12374,8832
S298_CSP_1.fastq.gz,25134,18935
S299_CSP_1.fastq.gz,11,4
S3_CSP_1.fastq.gz,12499,7357
S30_CSP_1.fastq.gz,32149,22847
S300_CSP_1.fastq.gz,16643,12125
S301_CSP_1.fastq.gz,13,5
S302_CSP_1.fastq.gz,16670,12310
S303_CSP_1.fastq.gz,16221,12421
S304_CSP_1.fastq.gz,7086,5411
S305_CSP_1.fastq.gz,15147,11179
S306_CSP_1.fastq.gz,12381,8897
S307_CSP_1.fastq.gz,5,3
S308_CSP_1.fastq.gz,10138,7844
S309_CSP_1.fastq.gz,4495,3165
S31_CSP_1.fastq.gz,23641,16455
S310_CSP_1.fastq.gz,19838,14425
S311_CSP_1.fastq.gz,12153,9125
S312_CSP_1.fastq.gz,1,1
S313_CSP_1.fastq.gz,17171,12113
S314_CSP_1.fastq.gz,6,3
S315_CSP_1.fastq.gz,5,5
S316_CSP_1.fastq.gz,16073,12287
S317_CSP_1.fastq.gz,16381,12162
S318_CSP_1.fastq.gz,25254,18765
S319_CSP_1.fastq.gz,8112,6101
S32_CSP_1.fastq.gz,23308,16348
S320_CSP_1.fastq.gz,17234,13329
S321_CSP_1.fastq.gz,15759,11338
S322_CSP_1.fastq.gz,6703,4718
S323_CSP_1.fastq.gz,8,5
S324_CSP_1.fastq.gz,11104,8077
S325_CSP_1.fastq.gz,11653,8537
S326_CSP_1.fastq.gz,18134,13591
S327_CSP_1.fastq.gz,4,3
S328_CSP_1.fastq.gz,6239,4714
S329_CSP_1.fastq.gz,13253,9474
S33_CSP_1.fastq.gz,23536,17119
S330_CSP_1.fastq.gz,24,11
S331_CSP_1.fastq.gz,15117,10907
S332_CSP_1.fastq.gz,12158,9062
S333_CSP_1.fastq.gz,21326,15173
S334_CSP_1.fastq.gz,20344,15191
S335_CSP_1.fastq.gz,20506,15459
S336_CSP_1.fastq.gz,16969,12486
