,reads.in,reads.out
S306_HistB_1.fastq.gz,15637,11696
S307_HistB_1.fastq.gz,2,1
S308_HistB_1.fastq.gz,12390,8883
S309_HistB_1.fastq.gz,13,2
S31_HistB_1.fastq.gz,25228,16171
S310_HistB_1.fastq.gz,23569,16373
S311_HistB_1.fastq.gz,2,2
S312_HistB_1.fastq.gz,3,1
S313_HistB_1.fastq.gz,17889,11811
S314_HistB_1.fastq.gz,1205,835
S315_HistB_1.fastq.gz,3,1
S316_HistB_1.fastq.gz,21301,15014
S317_HistB_1.fastq.gz,23082,15831
S318_HistB_1.fastq.gz,32807,24572
S319_HistB_1.fastq.gz,2268,1631
S32_HistB_1.fastq.gz,22833,16969
S320_HistB_1.fastq.gz,19333,13538
S321_HistB_1.fastq.gz,11,9
S322_HistB_1.fastq.gz,8,1
S323_HistB_1.fastq.gz,8,5
S324_HistB_1.fastq.gz,9681,6313
S325_HistB_1.fastq.gz,12509,8153
S326_HistB_1.fastq.gz,6465,4563
S327_HistB_1.fastq.gz,5171,3617
S328_HistB_1.fastq.gz,2305,1764
S329_HistB_1.fastq.gz,15504,10072
S33_HistB_1.fastq.gz,20630,13690
S330_HistB_1.fastq.gz,26,7
S331_HistB_1.fastq.gz,4,0
S332_HistB_1.fastq.gz,15512,10600
S333_HistB_1.fastq.gz,22849,16316
S334_HistB_1.fastq.gz,21528,15918
S335_HistB_1.fastq.gz,25120,19472
S336_HistB_1.fastq.gz,21846,16179
S337_HistB_1.fastq.gz,26225,16786
S338_HistB_1.fastq.gz,16019,12256
S339_HistB_1.fastq.gz,15861,10850
S34_HistB_1.fastq.gz,1067,752
S340_HistB_1.fastq.gz,21136,14710
S341_HistB_1.fastq.gz,5,3
S342_HistB_1.fastq.gz,19251,12511
S343_HistB_1.fastq.gz,9,4
S344_HistB_1.fastq.gz,25188,17582
S345_HistB_1.fastq.gz,16622,11681
S346_HistB_1.fastq.gz,15001,10487
S347_HistB_1.fastq.gz,3,2
S348_HistB_1.fastq.gz,21970,14404
S349_HistB_1.fastq.gz,16292,11002
S35_HistB_1.fastq.gz,13291,9347
S350_HistB_1.fastq.gz,6,3
S351_HistB_1.fastq.gz,2,1
S352_HistB_1.fastq.gz,5,1
S353_HistB_1.fastq.gz,1,1
S354_HistB_1.fastq.gz,27763,18060
S355_HistB_1.fastq.gz,3,1
S356_HistB_1.fastq.gz,1,1
S357_HistB_1.fastq.gz,30,2
S358_HistB_1.fastq.gz,19074,12818
S359_HistB_1.fastq.gz,20733,13477
S36_HistB_1.fastq.gz,5,1
S360_HistB_1.fastq.gz,4229,2882
S361_HistB_1.fastq.gz,22441,11114
S362_HistB_1.fastq.gz,726,418
S363_HistB_1.fastq.gz,1664,1181
S364_HistB_1.fastq.gz,10,6
S365_HistB_1.fastq.gz,28078,20116
S366_HistB_1.fastq.gz,27436,17216
S367_HistB_1.fastq.gz,21538,14790
S368_HistB_1.fastq.gz,10287,7662
S369_HistB_1.fastq.gz,8772,6756
S37_HistB_1.fastq.gz,4,1
S370_HistB_1.fastq.gz,10,4
S371_HistB_1.fastq.gz,16751,11537
S372_HistB_1.fastq.gz,8,4
S373_HistB_1.fastq.gz,26290,20512
S374_HistB_1.fastq.gz,19877,12449
S375_HistB_1.fastq.gz,16359,10973
S376_HistB_1.fastq.gz,21024,15960
S377_HistB_1.fastq.gz,11149,7845
S378_HistB_1.fastq.gz,21239,14016
S379_HistB_1.fastq.gz,6,3
S38_HistB_1.fastq.gz,1,0
S380_HistB_1.fastq.gz,17508,12539
S381_HistB_1.fastq.gz,35241,23967
S382_HistB_1.fastq.gz,19,13
S383_HistB_1.fastq.gz,33,17
S384_HistB_1.fastq.gz,39335,26499
S385_HistB_1.fastq.gz,12,2
S386_HistB_1.fastq.gz,31,14
S387_HistB_1.fastq.gz,18845,13597
S388_HistB_1.fastq.gz,20201,13889
S389_HistB_1.fastq.gz,34,20
S39_HistB_1.fastq.gz,409,312
S390_HistB_1.fastq.gz,41799,27276
S391_HistB_1.fastq.gz,28677,19558
S392_HistB_1.fastq.gz,20203,13793
S393_HistB_1.fastq.gz,15364,10687
S394_HistB_1.fastq.gz,14412,10891
S395_HistB_1.fastq.gz,21609,14541
S396_HistB_1.fastq.gz,7,1
S397_HistB_1.fastq.gz,25907,17779
S398_HistB_1.fastq.gz,9458,6638
S399_HistB_1.fastq.gz,24609,16259
S4_HistB_1.fastq.gz,6719,4386
S40_HistB_1.fastq.gz,5,1
S400_HistB_1.fastq.gz,17244,11879
S401_HistB_1.fastq.gz,19053,12546
S402_HistB_1.fastq.gz,17817,11753
S403_HistB_1.fastq.gz,6,2
S404_HistB_1.fastq.gz,12517,9422
S405_HistB_1.fastq.gz,26905,18272
S406_HistB_1.fastq.gz,28114,18669
S407_HistB_1.fastq.gz,19831,12734
S408_HistB_1.fastq.gz,9,5
S409_HistB_1.fastq.gz,10,4
S41_HistB_1.fastq.gz,6,4
S410_HistB_1.fastq.gz,12,4
S411_HistB_1.fastq.gz,14215,10040
S412_HistB_1.fastq.gz,4836,2438
S413_HistB_1.fastq.gz,13419,6231
S414_HistB_1.fastq.gz,18398,8987
S415_HistB_1.fastq.gz,33806,20731
S416_HistB_1.fastq.gz,16444,11975
S417_HistB_1.fastq.gz,22907,15902
S418_HistB_1.fastq.gz,41682,28169
S419_HistB_1.fastq.gz,29186,19786
S42_HistB_1.fastq.gz,18901,13023
S420_HistB_1.fastq.gz,4158,3108
S421_HistB_1.fastq.gz,14371,10559
S422_HistB_1.fastq.gz,20090,14253
S423_HistB_1.fastq.gz,16057,10578
S424_HistB_1.fastq.gz,25714,17881
S425_HistB_1.fastq.gz,7863,5388
S426_HistB_1.fastq.gz,12250,8845
S427_HistB_1.fastq.gz,48037,33608
S428_HistB_1.fastq.gz,38530,25436
S429_HistB_1.fastq.gz,12737,9170
S43_HistB_1.fastq.gz,1,1
S430_HistB_1.fastq.gz,12,4
S431_HistB_1.fastq.gz,24491,16591
S432_HistB_1.fastq.gz,20599,15562
S433_HistB_1.fastq.gz,21769,16962
S434_HistB_1.fastq.gz,13045,9392
S435_HistB_1.fastq.gz,14223,9980
S436_HistB_1.fastq.gz,26463,18596
S437_HistB_1.fastq.gz,12951,9729
S438_HistB_1.fastq.gz,1280,945
S439_HistB_1.fastq.gz,19465,13501
S44_HistB_1.fastq.gz,5,3
S440_HistB_1.fastq.gz,18523,12654
S441_HistB_1.fastq.gz,5,2
S442_HistB_1.fastq.gz,27487,18504
S443_HistB_1.fastq.gz,33272,22196
S444_HistB_1.fastq.gz,20989,15534
S445_HistB_1.fastq.gz,24428,18960
S446_HistB_1.fastq.gz,8,2
S447_HistB_1.fastq.gz,20831,13481
S448_HistB_1.fastq.gz,20649,13513
S449_HistB_1.fastq.gz,4,3
S45_HistB_1.fastq.gz,20187,15289
S450_HistB_1.fastq.gz,14801,8222
S451_HistB_1.fastq.gz,7,1
S452_HistB_1.fastq.gz,7,3
S453_HistB_1.fastq.gz,18746,11579
S454_HistB_1.fastq.gz,3,1
S455_HistB_1.fastq.gz,4,3
S456_HistB_1.fastq.gz,9364,5680
S457_HistB_1.fastq.gz,6,3
S458_HistB_1.fastq.gz,7,4
S459_HistB_1.fastq.gz,6660,4226
S46_HistB_1.fastq.gz,13580,10166
S460_HistB_1.fastq.gz,3,2
S461_HistB_1.fastq.gz,7115,5454
S462_HistB_1.fastq.gz,14326,9715
S463_HistB_1.fastq.gz,6,4
S464_HistB_1.fastq.gz,1,1
S465_HistB_1.fastq.gz,3,1
S466_HistB_1.fastq.gz,20403,12405
S467_HistB_1.fastq.gz,21942,14796
S468_HistB_1.fastq.gz,10235,7004
S469_HistB_1.fastq.gz,6971,4299
S47_HistB_1.fastq.gz,18409,11364
S470_HistB_1.fastq.gz,13067,9047
S471_HistB_1.fastq.gz,14760,10717
S472_HistB_1.fastq.gz,9786,6710
S473_HistB_1.fastq.gz,13813,9121
S474_HistB_1.fastq.gz,9402,6171
S475_HistB_1.fastq.gz,13749,8480
S476_HistB_1.fastq.gz,8335,5606
S477_HistB_1.fastq.gz,7,2
S478_HistB_1.fastq.gz,21310,13759
S479_HistB_1.fastq.gz,251,166
S48_HistB_1.fastq.gz,11,2
S480_HistB_1.fastq.gz,19379,13550
S481_HistB_1.fastq.gz,18093,12479
S482_HistB_1.fastq.gz,17549,11674
S483_HistB_1.fastq.gz,11209,7620
S484_HistB_1.fastq.gz,9607,6477
S485_HistB_1.fastq.gz,10,6
S486_HistB_1.fastq.gz,19886,12654
S487_HistB_1.fastq.gz,27150,19675
S488_HistB_1.fastq.gz,17035,11475
S489_HistB_1.fastq.gz,9779,6697
S49_HistB_1.fastq.gz,26387,18517
S490_HistB_1.fastq.gz,5,0
S491_HistB_1.fastq.gz,2,1
S492_HistB_1.fastq.gz,8,1
S493_HistB_1.fastq.gz,9,1
S494_HistB_1.fastq.gz,5,2
S495_HistB_1.fastq.gz,10,3
S496_HistB_1.fastq.gz,23284,16151
S497_HistB_1.fastq.gz,9,6
S498_HistB_1.fastq.gz,8,3
S499_HistB_1.fastq.gz,12947,9032
S5_HistB_1.fastq.gz,14060,9639
S50_HistB_1.fastq.gz,30230,20650
S500_HistB_1.fastq.gz,4,2
S501_HistB_1.fastq.gz,1,1
S502_HistB_1.fastq.gz,12802,8704
S503_HistB_1.fastq.gz,2,2
S504_HistB_1.fastq.gz,1,0
S505_HistB_1.fastq.gz,15314,10316
S506_HistB_1.fastq.gz,8,1
S507_HistB_1.fastq.gz,28357,19057
S508_HistB_1.fastq.gz,26091,17570
S509_HistB_1.fastq.gz,21,12
S51_HistB_1.fastq.gz,3,1
S510_HistB_1.fastq.gz,27971,17495
S511_HistB_1.fastq.gz,8988,6301
S512_HistB_1.fastq.gz,21038,16252
S513_HistB_1.fastq.gz,36299,26860
S514_HistB_1.fastq.gz,60873,39527
S52_HistB_1.fastq.gz,9659,6720
S53_HistB_1.fastq.gz,9,4
S54_HistB_1.fastq.gz,16212,8951
S55_HistB_1.fastq.gz,14612,9634
S56_HistB_1.fastq.gz,19724,13884
S57_HistB_1.fastq.gz,28536,19628
S58_HistB_1.fastq.gz,8,1
S59_HistB_1.fastq.gz,18131,12536
S6_HistB_1.fastq.gz,15020,10822
S60_HistB_1.fastq.gz,19556,14428
S61_HistB_1.fastq.gz,8,5
S62_HistB_1.fastq.gz,21360,14474
S63_HistB_1.fastq.gz,19344,12796
S64_HistB_1.fastq.gz,10419,7896
S65_HistB_1.fastq.gz,10753,7893
S66_HistB_1.fastq.gz,26852,18211
S67_HistB_1.fastq.gz,6159,4466
S68_HistB_1.fastq.gz,12923,8827
S69_HistB_1.fastq.gz,26695,18681
S7_HistB_1.fastq.gz,10365,6516
S70_HistB_1.fastq.gz,25608,17566
S71_HistB_1.fastq.gz,36208,26094
S72_HistB_1.fastq.gz,24,6
S73_HistB_1.fastq.gz,30795,19924
S74_HistB_1.fastq.gz,6,2
S75_HistB_1.fastq.gz,8146,5878
S76_HistB_1.fastq.gz,6,3
S77_HistB_1.fastq.gz,23600,15704
S78_HistB_1.fastq.gz,12,2
S79_HistB_1.fastq.gz,7275,5264
S8_HistB_1.fastq.gz,10556,6774
S80_HistB_1.fastq.gz,9015,6647
S81_HistB_1.fastq.gz,35176,24087
S82_HistB_1.fastq.gz,22986,15851
S83_HistB_1.fastq.gz,25300,16513
S84_HistB_1.fastq.gz,15804,10561
S85_HistB_1.fastq.gz,3,0
S86_HistB_1.fastq.gz,24011,17503
S87_HistB_1.fastq.gz,30107,19549
S88_HistB_1.fastq.gz,39377,29198
S89_HistB_1.fastq.gz,3646,1802
S9_HistB_1.fastq.gz,11,4
S90_HistB_1.fastq.gz,13669,9909
S91_HistB_1.fastq.gz,29688,19562
S92_HistB_1.fastq.gz,7,6
S93_HistB_1.fastq.gz,7,3
S94_HistB_1.fastq.gz,11878,8337
S95_HistB_1.fastq.gz,18368,11741
S96_HistB_1.fastq.gz,1,0
S97_HistB_1.fastq.gz,10188,6637
S98_HistB_1.fastq.gz,18,6
S99_HistB_1.fastq.gz,30,14
