Sample,reads.in,reads.out,merged,tabled,nonchim
S5_HistB_1.fastq.gz,14060,9639,6559,6559,6559
S50_HistB_1.fastq.gz,30230,20650,20040,20040,18848
S500_HistB_1.fastq.gz,4,2,Removed,Removed,Removed
S501_HistB_1.fastq.gz,1,1,Removed,Removed,Removed
S502_HistB_1.fastq.gz,12802,8704,7982,7982,7982
S503_HistB_1.fastq.gz,2,2,Removed,Removed,Removed
S504_HistB_1.fastq.gz,1,0,Removed,Removed,Removed
S505_HistB_1.fastq.gz,15314,10316,9955,9955,9791
S506_HistB_1.fastq.gz,8,1,Removed,Removed,Removed
S507_HistB_1.fastq.gz,28357,19057,18318,18318,18318
S508_HistB_1.fastq.gz,26091,17570,17020,17020,17020
S509_HistB_1.fastq.gz,21,12,Removed,Removed,Removed
S51_HistB_1.fastq.gz,3,1,Removed,Removed,Removed
S510_HistB_1.fastq.gz,27971,17495,16836,16836,16836
S511_HistB_1.fastq.gz,8988,6301,5567,5567,5567
S512_HistB_1.fastq.gz,21038,16252,11285,11285,11285
S513_HistB_1.fastq.gz,36299,26860,18361,18361,18361
S514_HistB_1.fastq.gz,60873,39527,37924,37924,37924
S52_HistB_1.fastq.gz,9659,6720,6553,6553,6553
S53_HistB_1.fastq.gz,9,4,Removed,Removed,Removed
S54_HistB_1.fastq.gz,16212,8951,8570,8570,8021
S55_HistB_1.fastq.gz,14612,9634,9329,9329,9177
S56_HistB_1.fastq.gz,19724,13884,12331,12331,12080
S57_HistB_1.fastq.gz,28536,19628,18958,18958,18958
S58_HistB_1.fastq.gz,8,1,Removed,Removed,Removed
S59_HistB_1.fastq.gz,18131,12536,12137,12137,11226
S6_HistB_1.fastq.gz,15020,10822,7696,7696,7696
S60_HistB_1.fastq.gz,19556,14428,10396,10396,10396
S61_HistB_1.fastq.gz,8,5,Removed,Removed,Removed
S62_HistB_1.fastq.gz,21360,14474,14093,14093,12511
S63_HistB_1.fastq.gz,19344,12796,12335,12335,12335
S64_HistB_1.fastq.gz,10419,7896,5977,5977,5977
S65_HistB_1.fastq.gz,10753,7893,5466,5466,5466
S66_HistB_1.fastq.gz,26852,18211,17555,17555,17555
S67_HistB_1.fastq.gz,6159,4466,2994,2994,2994
S68_HistB_1.fastq.gz,12923,8827,7780,7780,7780
S69_HistB_1.fastq.gz,26695,18681,17887,17887,15733
S7_HistB_1.fastq.gz,10365,6516,6296,6296,6034
S70_HistB_1.fastq.gz,25608,17566,16951,16951,16951
S71_HistB_1.fastq.gz,36208,26094,24563,24563,24563
S72_HistB_1.fastq.gz,24,6,Removed,Removed,Removed
S73_HistB_1.fastq.gz,30795,19924,19276,19276,19276
S74_HistB_1.fastq.gz,6,2,Removed,Removed,Removed
S75_HistB_1.fastq.gz,8146,5878,5527,5527,5527
S76_HistB_1.fastq.gz,6,3,Removed,Removed,Removed
S77_HistB_1.fastq.gz,23600,15704,15153,15153,12340
S78_HistB_1.fastq.gz,12,2,Removed,Removed,Removed
S79_HistB_1.fastq.gz,7275,5264,3497,3497,3497
S8_HistB_1.fastq.gz,10556,6774,6539,6539,6539
S80_HistB_1.fastq.gz,9015,6647,4701,4701,4467
S81_HistB_1.fastq.gz,35176,24087,23142,23142,23142
S82_HistB_1.fastq.gz,22986,15851,15361,15361,13738
S83_HistB_1.fastq.gz,25300,16513,15976,15976,15976
S84_HistB_1.fastq.gz,15804,10561,10196,10196,9540
S85_HistB_1.fastq.gz,3,0,Removed,Removed,Removed
S86_HistB_1.fastq.gz,24011,17503,13565,13565,13565
S87_HistB_1.fastq.gz,30107,19549,18667,18667,18375
S88_HistB_1.fastq.gz,39377,29198,20095,20095,20095
S89_HistB_1.fastq.gz,3646,1802,1727,1727,1727
S9_HistB_1.fastq.gz,11,4,Removed,Removed,Removed
S90_HistB_1.fastq.gz,13669,9909,8104,8104,8104
S91_HistB_1.fastq.gz,29688,19562,18971,18971,18971
S92_HistB_1.fastq.gz,7,6,Removed,Removed,Removed
S93_HistB_1.fastq.gz,7,3,Removed,Removed,Removed
S94_HistB_1.fastq.gz,11878,8337,6407,6407,6407
S95_HistB_1.fastq.gz,18368,11741,11358,11358,11358
S96_HistB_1.fastq.gz,1,0,Removed,Removed,Removed
S97_HistB_1.fastq.gz,10188,6637,6446,6446,6446
S98_HistB_1.fastq.gz,18,6,Removed,Removed,Removed
S99_HistB_1.fastq.gz,30,14,Removed,Removed,Removed
