Sample,reads.in,reads.out,merged,tabled,nonchim
S164_HistB_1.fastq.gz,7,3,Removed,Removed,Removed
S165_HistB_1.fastq.gz,19899,13856,13405,13405,13359
S166_HistB_1.fastq.gz,18657,13838,10971,10971,10971
S167_HistB_1.fastq.gz,12638,9530,6205,6205,6205
S168_HistB_1.fastq.gz,5,0,Removed,Removed,Removed
S169_HistB_1.fastq.gz,15507,11495,8046,8046,8046
S17_HistB_1.fastq.gz,13233,5465,5074,5074,5074
S170_HistB_1.fastq.gz,34768,24112,23328,23328,23328
S171_HistB_1.fastq.gz,16,9,Removed,Removed,Removed
S172_HistB_1.fastq.gz,41651,26952,26001,26001,26001
S173_HistB_1.fastq.gz,8,3,Removed,Removed,Removed
S174_HistB_1.fastq.gz,12798,6969,6697,6697,6697
S175_HistB_1.fastq.gz,1,0,Removed,Removed,Removed
S176_HistB_1.fastq.gz,1,0,Removed,Removed,Removed
S177_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S178_HistB_1.fastq.gz,11378,7401,7196,7196,7196
S179_HistB_1.fastq.gz,7931,1641,1458,1458,1400
S18_HistB_1.fastq.gz,22471,14431,13897,13897,13897
S180_HistB_1.fastq.gz,11427,8340,6721,6721,6648
S181_HistB_1.fastq.gz,7433,4659,4454,4454,4454
S182_HistB_1.fastq.gz,6797,4604,4487,4487,4487
S183_HistB_1.fastq.gz,5,3,Removed,Removed,Removed
S184_HistB_1.fastq.gz,11636,7518,7252,7252,7252
S185_HistB_1.fastq.gz,1,0,Removed,Removed,Removed
S186_HistB_1.fastq.gz,10951,7033,6856,6856,6856
S187_HistB_1.fastq.gz,16890,9254,8764,8764,7630
S188_HistB_1.fastq.gz,11003,7310,7119,7119,6699
S189_HistB_1.fastq.gz,10705,6292,6082,6082,6082
S19_HistB_1.fastq.gz,5,4,Removed,Removed,Removed
S190_HistB_1.fastq.gz,10676,7001,6624,6624,6624
S191_HistB_1.fastq.gz,7,1,Removed,Removed,Removed
S192_HistB_1.fastq.gz,6,4,Removed,Removed,Removed
S193_HistB_1.fastq.gz,18031,12049,11537,11537,11177
S194_HistB_1.fastq.gz,10474,7245,7012,7012,6705
S195_HistB_1.fastq.gz,7441,4478,4365,4365,4244
S196_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S197_HistB_1.fastq.gz,3949,2769,2016,2016,2016
S198_HistB_1.fastq.gz,13542,8897,8607,8607,8607
S199_HistB_1.fastq.gz,7,2,Removed,Removed,Removed
S2_HistB_1.fastq.gz,12,6,Removed,Removed,Removed
S20_HistB_1.fastq.gz,17561,11680,11264,11264,11264
S200_HistB_1.fastq.gz,3,2,Removed,Removed,Removed
S201_HistB_1.fastq.gz,12882,6237,5960,5960,5498
S202_HistB_1.fastq.gz,12986,7482,7115,7115,6447
S203_HistB_1.fastq.gz,4396,3356,3259,3259,3259
S204_HistB_1.fastq.gz,20401,14045,13568,13568,13568
S205_HistB_1.fastq.gz,4,2,Removed,Removed,Removed
S206_HistB_1.fastq.gz,13741,9237,8981,8981,8981
S207_HistB_1.fastq.gz,4,2,Removed,Removed,Removed
S208_HistB_1.fastq.gz,11100,6354,6068,6068,6068
S209_HistB_1.fastq.gz,10,7,Removed,Removed,Removed
